M_S0,R_S0,M_C0,R_C0,M_I0,R_I0,SensorMassScalingFactor,SensorMassSpacingFactor,SensorReliabScalingFactor,CompMassScalingFactor,CompMassSpacingFactor,CompReliabScalingFactor,DissimilarComponentPenalty,M_SA,M_SB,M_SC,R_SA,R_SB,R_SC,M_CA,M_CB,M_CC,R_CA,R_CB,R_CC,NS,NC,NA,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,Inat_1,Inat_2,Inat_3,m,R,MTTF,Nlinks,Fields,N9
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,220,100,49,49,,,,,,,,1,1,,15,0.998999001,998.5019135,2,,2.999566356
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,220,200,49,49,,,,,,,,1,1,,17,0.999599,2493.26804,2,,3.396856061
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,220,300,49,49,,,,,,,,1,1,,22,0.999799,4974.629312,2,,3.696804375
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,230,100,49,49,,,,,,,,1,1,,27,0.998999501,999.000666,2,,2.999783124
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,230,200,49,49,,,,,,,,1,1,,29,0.9995995,2496.380115,2,,3.397397696
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,230,300,49,49,,,,,,,,1,1,,34,0.9997995,4987.033643,2,,3.69788584
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,330,100,49,49,,,,,,,,1,1,,21,0.99899975,999.250229,2,,2.999891548
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,330,200,49,49,,,,,,,,1,1,,23,0.99959975,2497.939067,2,,3.397668768
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,330,300,49,49,,,,,,,,1,1,,28,0.99979975,4993.259033,2,,3.698427584
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,110,48,49,49,49,,,,,,1,3,,12,0.999995254,210692.1521,3,,5.32364939
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,110,49,48,48,49,,,,,,2,1,,12,0.999993757,160191.6729,2,,5.204641292
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,110,49,49,48,49,,,,,,2,3,,12,0.999995254,210692.1521,3,,5.32364939
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,110,49,48,49,49,,,,,,3,1,,12,0.999995254,210692.1521,3,,5.32364939
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,110,49,49,49,49,,,,,,3,3,,12,0.99999675,307692.0207,4,,5.48811694
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,48,49,49,48,,,,,,1,2,,23,0.999995254,210718.7503,2,,5.323704213
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,48,49,49,49,,,,,,1,3,,23,0.999995853,241128.9504,3,,5.382250256
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,49,48,48,49,,,,,,2,1,,23,0.999995254,210718.7503,2,,5.323704213
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,49,49,48,49,,,,,,2,3,,23,0.999996752,307833.8851,3,,5.488317129
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,49,48,49,49,,,,,,3,1,,23,0.999995853,241128.9504,3,,5.382250256
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,49,49,49,48,,,,,,3,2,,23,0.999996752,307833.8851,3,,5.488317129
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,120,49,49,49,49,,,,,,3,3,,23,0.99999735,377358.1187,4,,5.576754274
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,48,49,49,48,,,,,,1,2,,28,0.999995753,235476.4336,2,,5.371948372
